id_emprestimo,id_cliente,valor,taxa_juros,data_contratacao,status
195,2687,28657,0.025,2020-10-24,inadimplente
196,281,26233,0.035,2021-02-09,ativo
197,118,10368,0.035,2021-05-02,ativo
198,3251,22137,0.01,2022-09-11,quitado
199,2818,13304,0.035,2023-03-28,quitado
200,3704,15079,0.028,2021-06-22,inadimplente
201,3604,8721,0.04,2023-09-04,inadimplente
202,2764,23102,0.05,2021-01-16,quitado
203,2794,32939,0.041,2022-07-23,inadimplente
204,791,44778,0.044,2022-11-29,quitado
205,518,24948,0.027,2020-02-22,inadimplente
206,1035,7198,0.019,2022-07-25,ativo
207,986,37075,0.039,2020-09-15,quitado
208,2516,30659,0.027,2020-06-18,inadimplente
209,1496,27054,0.043,2022-11-12,ativo
210,1161,45602,0.019,2020-02-04,ativo
211,2900,35444,0.034,2020-11-06,inadimplente
212,4347,35409,0.012,2022-12-27,quitado
213,4420,16101,0.038,2022-12-23,ativo
214,3068,11403,0.014,2020-12-05,inadimplente
215,1854,47929,0.016,2023-06-02,quitado
216,1657,19246,0.012,2022-03-31,quitado
217,3194,35193,0.049,2022-09-02,quitado
218,2638,9920,0.039,2021-09-06,ativo
219,614,17471,0.038,2023-09-30,quitado
220,1711,49068,0.035,2020-05-16,ativo
221,3362,10194,0.016,2020-11-24,ativo
222,3206,11449,0.036,2022-03-11,inadimplente
223,1585,17290,0.043,2020-05-24,ativo
224,2263,10203,0.046,2020-09-09,inadimplente
225,4800,45060,0.016,2022-06-27,ativo
226,2257,22461,0.01,2020-08-28,inadimplente
227,2550,35356,0.014,2023-07-11,inadimplente
228,3860,16216,0.036,2021-09-03,ativo
229,4434,49687,0.034,2020-11-10,ativo
230,2797,18832,0.048,2020-03-24,quitado
231,2093,8394,0.035,2022-05-22,inadimplente
232,1380,47514,0.038,2022-09-24,quitado
233,1841,35264,0.014,2024-02-07,inadimplente
234,4908,24760,0.02,2023-09-23,quitado
235,3543,28634,0.012,2020-08-03,quitado
236,2260,17493,0.036,2021-11-04,quitado
237,2059,24374,0.013,2020-07-26,inadimplente
238,3978,16908,0.033,2021-03-29,inadimplente
239,3554,44622,0.021,2023-12-22,quitado
240,4594,40756,0.043,2022-02-08,inadimplente
241,4252,44749,0.025,2023-05-17,ativo
242,4837,43118,0.048,2023-03-24,ativo
243,963,16637,0.024,2023-10-09,inadimplente
244,4947,28645,0.043,2024-01-11,inadimplente
245,327,23760,0.036,2022-06-20,quitado
246,4697,35259,0.011,2022-03-27,inadimplente
247,3538,44848,0.046,2021-03-18,inadimplente
248,1481,2582,0.035,2021-11-04,ativo
249,2395,28010,0.042,2024-02-02,quitado
250,2077,24500,0.043,2021-12-05,quitado
251,2038,19129,0.028,2020-04-07,quitado
252,3754,46816,0.05,2021-06-22,ativo
253,1716,37600,0.041,2023-01-25,inadimplente
254,2637,49542,0.026,2021-12-14,ativo
255,4095,6824,0.023,2023-06-16,inadimplente
256,1865,21744,0.043,2020-07-26,inadimplente
257,741,42907,0.026,2023-06-27,quitado
258,1526,26080,0.018,2023-12-19,quitado
259,2873,23085,0.042,2022-01-10,ativo
260,1381,22152,0.011,2021-01-23,inadimplente
261,2544,34169,0.038,2023-02-21,quitado
262,4587,36275,0.017,2023-06-20,inadimplente
263,623,14016,0.014,2023-12-28,inadimplente
264,3315,18260,0.016,2021-11-27,inadimplente
265,2899,27001,0.015,2022-02-27,ativo
266,2408,41201,0.033,2020-06-17,quitado
267,1842,30002,0.043,2021-05-18,inadimplente
268,1270,44746,0.05,2020-02-23,quitado
269,1839,46552,0.049,2021-05-17,ativo
270,3608,43460,0.042,2020-10-24,ativo
271,2432,16969,0.049,2023-06-07,quitado
272,3596,28166,0.032,2023-03-09,ativo
273,3378,13193,0.044,2023-04-04,quitado
274,4715,26369,0.04,2023-12-18,quitado
275,2160,29266,0.025,2021-04-25,quitado
276,4427,24401,0.013,2023-11-20,ativo
277,2636,47034,0.02,2023-01-07,inadimplente
278,1055,7332,0.049,2022-11-05,inadimplente
279,3898,36085,0.023,2023-05-22,ativo
280,2854,48026,0.038,2023-02-08,ativo
281,3812,18637,0.033,2020-04-18,quitado
282,3588,33580,0.034,2020-05-12,ativo
283,182,37697,0.028,2023-08-24,ativo
284,2848,32236,0.045,2020-10-29,ativo
285,2904,5286,0.048,2021-07-19,inadimplente
286,2065,48694,0.011,2023-05-09,quitado
287,3530,47151,0.041,2020-09-30,quitado
288,1763,44371,0.028,2023-01-07,inadimplente
289,2496,22661,0.019,2022-11-06,quitado
290,1182,36364,0.049,2023-04-16,quitado
291,56,40950,0.012,2022-01-03,inadimplente
292,981,5653,0.035,2022-12-20,quitado
293,1321,49008,0.018,2023-05-16,ativo
294,1485,2932,0.036,2022-10-10,inadimplente
295,979,22744,0.014,2022-04-06,inadimplente
296,3174,27710,0.025,2022-08-29,ativo
297,2813,12992,0.014,2021-12-28,ativo
298,3526,17515,0.03,2021-01-12,quitado
299,3289,14146,0.019,2023-08-18,inadimplente
300,669,23263,0.028,2020-07-11,inadimplente
301,2112,2336,0.045,2020-05-04,inadimplente
302,485,45742,0.025,2020-12-11,ativo
303,4335,1824,0.01,2022-02-26,quitado
304,227,38229,0.033,2020-05-22,ativo
305,1545,42712,0.035,2021-01-07,inadimplente
306,1789,23626,0.014,2023-10-31,ativo
307,4913,25521,0.033,2022-06-21,inadimplente
308,1455,34248,0.016,2022-06-30,ativo
309,318,36231,0.046,2020-09-03,quitado
310,2388,8063,0.024,2021-01-04,inadimplente
311,4248,11969,0.046,2022-10-16,ativo
312,4944,11174,0.05,2021-11-21,quitado
313,4490,26483,0.041,2020-08-26,inadimplente
314,4543,5290,0.024,2022-01-18,ativo
315,1962,33162,0.018,2022-04-07,ativo
316,2936,4841,0.047,2022-09-10,inadimplente
317,4843,7473,0.044,2020-07-05,inadimplente
318,2626,35559,0.033,2023-12-09,inadimplente
319,4274,26833,0.04,2023-08-10,ativo
320,2315,21992,0.015,2021-02-09,quitado
321,3493,27492,0.027,2020-06-17,quitado
322,196,33193,0.014,2023-02-23,quitado
323,4995,26480,0.022,2021-08-11,inadimplente
324,452,35573,0.043,2021-01-20,ativo
325,2516,39500,0.04,2023-03-15,inadimplente
326,1421,43004,0.023,2020-04-08,inadimplente
327,230,4093,0.049,2022-02-27,ativo
328,2882,36242,0.012,2023-11-02,quitado
329,4165,35339,0.044,2022-11-07,quitado
330,367,15057,0.014,2021-01-15,ativo
331,2624,5781,0.039,2022-10-11,ativo
332,4679,42970,0.035,2020-04-02,quitado
333,1688,46179,0.015,2021-08-17,ativo
334,1970,44227,0.043,2021-11-08,ativo
335,3195,15966,0.025,2022-04-03,ativo
336,1278,10284,0.034,2023-06-27,inadimplente
337,2116,28711,0.037,2023-12-25,inadimplente
338,2538,14426,0.048,2023-08-31,inadimplente
339,2234,27817,0.038,2022-05-01,quitado
340,3090,19224,0.044,2021-01-23,quitado
341,2077,40330,0.01,2023-11-19,quitado
342,343,46613,0.041,2020-09-20,inadimplente
343,1827,5621,0.036,2020-08-24,ativo
344,4003,5358,0.017,2021-11-01,ativo
345,2102,45623,0.039,2023-11-24,quitado
346,2334,36144,0.021,2023-03-13,quitado
347,889,8825,0.026,2021-02-17,ativo
348,4545,33634,0.018,2022-11-27,ativo
349,3842,32379,0.014,2021-04-13,ativo
350,3180,13089,0.013,2023-11-21,ativo
351,1981,29570,0.035,2022-06-16,inadimplente
352,1170,29968,0.034,2020-03-25,inadimplente
353,4126,13384,0.041,2024-01-24,quitado
354,359,38276,0.011,2020-11-08,quitado
355,2055,12503,0.024,2021-02-14,inadimplente
356,463,26645,0.025,2021-08-20,inadimplente
357,522,15761,0.017,2021-02-02,quitado
358,3596,2658,0.045,2020-05-22,ativo
359,4929,35639,0.022,2020-11-25,ativo
360,4483,21811,0.012,2023-11-03,ativo
361,3359,34950,0.031,2023-06-20,inadimplente
362,1392,48453,0.047,2022-01-28,ativo
363,1176,7802,0.037,2020-01-13,quitado
364,29,37877,0.012,2022-03-04,inadimplente
365,981,15714,0.04,2020-03-13,inadimplente
366,4470,5844,0.011,2022-09-02,inadimplente
367,3163,19511,0.037,2022-03-03,quitado
368,1947,45753,0.03,2021-05-27,quitado
369,3728,32400,0.047,2020-11-09,quitado
370,4395,24601,0.019,2021-08-10,inadimplente
371,1429,26457,0.05,2020-11-24,quitado
372,172,29294,0.042,2020-10-21,ativo
373,3768,27894,0.038,2023-01-13,ativo
374,3296,9193,0.044,2021-12-23,ativo
375,3325,28599,0.045,2022-08-01,inadimplente
376,3706,30090,0.048,2022-08-07,quitado
377,2768,22365,0.037,2020-09-29,inadimplente
378,4342,14494,0.02,2023-12-30,ativo
379,4657,13753,0.048,2024-02-02,inadimplente
380,2978,31367,0.032,2022-04-16,quitado
381,2515,14992,0.026,2022-08-21,ativo
382,4447,43745,0.028,2023-07-01,quitado
383,417,14068,0.019,2023-02-03,ativo
384,3149,34914,0.027,2022-06-26,ativo
385,1692,26294,0.033,2020-12-18,quitado
386,4616,11214,0.036,2023-03-23,ativo
387,1235,27954,0.023,2021-05-18,inadimplente
388,1070,32895,0.023,2023-06-08,inadimplente
389,290,45314,0.014,2020-05-13,ativo
390,176,1568,0.047,2020-04-18,quitado
391,737,21532,0.047,2021-12-31,ativo
392,1234,14959,0.022,2020-05-15,quitado
393,2585,39236,0.046,2022-07-03,quitado
394,2774,47111,0.017,2021-09-13,ativo
395,4603,11473,0.046,2020-11-07,ativo
396,3402,8762,0.031,2023-06-20,quitado
397,1297,37809,0.032,2022-08-19,inadimplente
398,2304,46217,0.044,2021-05-25,ativo
399,1202,30157,0.014,2020-03-21,ativo
400,3121,31986,0.025,2020-12-15,ativo
401,4802,46096,0.05,2022-01-12,quitado
402,4792,38480,0.017,2020-02-10,quitado
403,4644,23533,0.045,2020-06-23,quitado
404,565,12615,0.015,2021-09-06,inadimplente
405,3225,10796,0.014,2023-10-01,ativo
406,2628,20159,0.038,2020-06-19,quitado
407,4939,33423,0.011,2023-04-23,quitado
408,1385,24934,0.044,2021-01-28,inadimplente
409,2296,35107,0.046,2020-02-18,quitado
410,2610,11936,0.012,2021-05-04,inadimplente
411,2512,18243,0.028,2022-06-05,quitado
412,332,18880,0.04,2023-09-06,quitado
413,658,22818,0.032,2020-09-24,inadimplente
414,88,49145,0.033,2021-09-11,quitado
415,1636,31809,0.025,2020-03-14,inadimplente
416,2215,46669,0.025,2022-01-21,inadimplente
417,3478,27685,0.038,2020-09-28,quitado
418,2143,37200,0.018,2021-07-30,quitado
419,683,30482,0.047,2020-06-22,inadimplente
420,2611,34344,0.046,2020-02-17,ativo
421,877,16922,0.013,2022-02-03,ativo
422,1262,38480,0.042,2020-06-27,ativo
423,80,48389,0.011,2021-11-29,inadimplente
424,577,11239,0.033,2022-08-01,inadimplente
425,2711,44577,0.014,2020-09-06,ativo
426,1137,14075,0.047,2020-06-15,ativo
427,752,48071,0.048,2020-01-08,quitado
428,1910,14776,0.012,2020-06-11,quitado
429,2625,41989,0.031,2022-09-01,ativo
430,4058,40679,0.038,2022-08-18,quitado
431,4849,5015,0.028,2022-11-05,ativo
432,652,12524,0.049,2021-06-23,ativo
433,4441,38711,0.049,2023-12-04,ativo
434,621,13333,0.017,2021-10-20,ativo
435,1331,26864,0.035,2023-04-28,quitado
436,4928,28019,0.03,2021-08-07,ativo
437,3495,17446,0.043,2021-05-08,inadimplente
438,58,43915,0.046,2023-10-31,quitado
439,2306,11568,0.013,2020-05-08,quitado
440,2820,49032,0.012,2022-05-30,ativo
441,3654,1786,0.049,2023-10-13,ativo
442,2609,39544,0.041,2022-01-10,inadimplente
443,4961,45446,0.048,2023-03-11,quitado
444,2614,30542,0.024,2022-09-10,quitado
445,4094,20676,0.041,2021-10-03,inadimplente
446,1559,15949,0.033,2020-03-28,inadimplente
447,2891,27852,0.029,2022-08-03,quitado
448,3304,31384,0.045,2022-08-09,quitado
449,1251,10311,0.04,2022-02-28,quitado
450,201,10137,0.042,2022-02-20,inadimplente
451,1224,27176,0.025,2022-06-08,inadimplente
452,1416,10898,0.034,2021-01-11,ativo
453,777,2074,0.026,2020-11-02,quitado
454,2764,13960,0.011,2022-03-14,ativo
455,2487,37000,0.021,2021-01-24,quitado
456,4972,48430,0.03,2022-06-10,ativo
457,3993,44633,0.012,2020-08-05,ativo
458,2649,47269,0.029,2021-08-15,ativo
459,1927,34997,0.048,2021-03-19,quitado
460,4019,1849,0.048,2023-07-17,ativo
461,2774,42317,0.022,2023-06-20,quitado
462,999,40263,0.015,2021-07-31,quitado
463,3059,46122,0.045,2022-01-26,inadimplente
464,3880,5136,0.011,2022-01-27,quitado
465,2017,14726,0.048,2023-11-10,ativo
466,2561,42541,0.047,2022-09-02,quitado
467,4547,23331,0.033,2021-11-09,inadimplente
468,1593,9331,0.049,2023-07-19,inadimplente
469,1876,47406,0.034,2021-04-30,ativo
470,4003,37916,0.029,2020-02-09,quitado
471,4186,7264,0.025,2020-10-30,inadimplente
472,2635,6328,0.031,2022-08-05,inadimplente
473,2180,5386,0.028,2021-01-30,quitado
474,1173,24840,0.044,2020-04-30,quitado
475,2021,15636,0.035,2021-11-01,quitado
476,3954,37823,0.016,2021-07-12,quitado
477,3971,21589,0.034,2023-01-03,ativo
478,1542,40163,0.034,2021-08-28,inadimplente
479,497,49201,0.045,2022-12-08,inadimplente
480,2314,17267,0.042,2022-05-16,inadimplente
481,90,20541,0.02,2020-10-22,quitado
482,208,2888,0.036,2022-05-13,ativo
483,3020,31470,0.041,2020-10-29,quitado
484,3130,37389,0.016,2022-06-28,quitado
485,883,18927,0.028,2021-02-09,inadimplente
486,4969,30709,0.021,2023-04-16,ativo
487,2645,2111,0.015,2021-10-30,inadimplente
488,3909,25171,0.016,2024-01-15,quitado
489,4507,2668,0.035,2023-08-16,quitado
490,3241,12665,0.023,2020-03-11,inadimplente
491,2318,22234,0.033,2023-03-10,ativo
492,4192,4660,0.039,2024-01-01,ativo
493,4069,5186,0.047,2020-10-13,ativo
494,838,35260,0.017,2024-01-01,ativo
495,753,24613,0.049,2021-11-23,ativo
496,3381,23516,0.04,2022-10-05,quitado
497,4466,5073,0.031,2023-08-07,quitado
498,1270,36920,0.043,2021-02-28,quitado
499,1304,8552,0.041,2021-06-18,ativo
500,1961,4703,0.036,2023-02-16,ativo
501,430,43133,0.044,2021-04-06,quitado
502,348,3764,0.019,2021-04-21,ativo
503,1128,33806,0.023,2022-03-04,inadimplente
504,3243,2261,0.03,2021-08-16,quitado
505,193,44885,0.039,2022-04-29,inadimplente
506,557,3629,0.018,2020-03-14,ativo
507,1881,39190,0.03,2021-12-16,inadimplente
508,661,39114,0.045,2022-11-08,ativo
509,3254,14944,0.016,2020-01-16,inadimplente
510,2306,18409,0.032,2022-11-12,quitado
511,1310,14211,0.04,2021-06-08,quitado
512,1604,22434,0.046,2022-03-15,ativo
513,2338,30599,0.011,2023-05-20,inadimplente
514,4193,27587,0.018,2020-08-18,ativo
515,3175,7994,0.04,2021-02-25,ativo
516,4672,49215,0.04,2023-11-13,inadimplente
517,1756,39879,0.043,2022-01-09,quitado
518,446,43456,0.035,2023-03-06,quitado
519,1777,34495,0.011,2020-01-26,ativo
520,1483,22884,0.018,2024-01-14,quitado
521,2682,31007,0.049,2023-05-17,ativo
522,4028,32468,0.032,2021-08-07,inadimplente
523,2036,6090,0.035,2020-01-01,ativo
524,410,1734,0.048,2020-01-01,quitado
525,3646,25996,0.039,2020-11-22,ativo
526,439,25120,0.019,2021-01-25,quitado
527,3055,5987,0.021,2023-08-31,ativo
528,2437,3293,0.046,2021-09-10,ativo
529,2153,30945,0.047,2021-02-23,ativo
530,249,32228,0.017,2020-08-18,ativo
531,1924,30834,0.045,2023-04-02,inadimplente
532,4567,18900,0.021,2023-12-10,inadimplente
533,3930,5147,0.039,2020-11-09,ativo
534,534,27053,0.037,2020-03-02,ativo
535,4075,29343,0.043,2022-04-24,ativo
536,109,38798,0.046,2023-09-06,ativo
537,2301,47524,0.021,2022-09-08,ativo
538,2190,2599,0.037,2021-01-20,ativo
539,3670,1127,0.05,2020-03-31,inadimplente
540,3567,37630,0.048,2022-09-27,ativo
541,388,19777,0.025,2023-05-09,quitado
542,3738,31964,0.032,2022-02-03,inadimplente
543,3042,48592,0.032,2020-10-25,quitado
544,2841,27673,0.017,2022-04-02,quitado
545,3830,23769,0.041,2020-10-29,inadimplente
546,4052,45283,0.032,2022-01-07,quitado
547,709,40462,0.02,2020-10-08,quitado
548,2939,43301,0.029,2023-01-09,inadimplente
549,1346,3802,0.024,2023-07-04,ativo
550,4906,23390,0.032,2020-11-22,inadimplente
551,1143,14488,0.043,2022-03-22,ativo
552,3433,8332,0.05,2023-01-19,ativo
553,4257,7803,0.033,2021-06-05,inadimplente
554,1350,49477,0.019,2023-12-24,quitado
555,4008,8662,0.023,2022-02-03,inadimplente
556,3236,35283,0.036,2022-03-15,ativo
557,4727,24011,0.04,2023-11-09,ativo
558,1850,42973,0.036,2020-11-14,inadimplente
559,1543,47937,0.01,2022-10-30,ativo
560,4057,10460,0.047,2023-11-24,quitado
561,1982,27615,0.022,2021-03-04,inadimplente
562,792,13517,0.011,2020-03-04,quitado
563,992,14571,0.017,2023-10-25,ativo
564,550,17609,0.028,2020-08-31,quitado
565,2929,44357,0.026,2023-11-30,inadimplente
566,2460,23489,0.026,2021-03-02,quitado
567,3511,41583,0.034,2022-09-06,inadimplente
568,4861,3744,0.037,2020-03-05,quitado
569,2619,24035,0.011,2023-12-05,quitado
570,3144,36325,0.041,2022-05-15,inadimplente
571,4810,41647,0.045,2023-11-03,quitado
572,224,25901,0.012,2022-09-25,ativo
573,3891,17525,0.032,2020-06-18,ativo
574,771,30798,0.025,2021-11-21,ativo
575,4945,31754,0.011,2021-09-26,inadimplente
576,3697,15192,0.035,2020-07-13,ativo
577,1052,39890,0.045,2020-02-27,inadimplente
578,3641,5528,0.03,2022-08-06,quitado
579,4629,26439,0.042,2023-01-02,inadimplente
580,400,17593,0.033,2023-11-30,inadimplente
581,4024,12397,0.046,2021-08-23,ativo
582,327,20024,0.034,2022-05-23,ativo
583,1269,6034,0.018,2022-09-22,ativo
584,47,26382,0.041,2023-09-01,ativo
585,3087,3875,0.022,2021-04-02,quitado
586,4781,33332,0.019,2022-06-29,inadimplente
587,952,7654,0.017,2020-09-27,inadimplente
588,4958,37881,0.011,2022-10-13,quitado
589,3523,2345,0.038,2023-11-21,quitado
590,4453,7968,0.027,2020-03-09,quitado
591,3575,37522,0.038,2020-05-17,ativo
592,715,18221,0.045,2023-09-23,quitado
593,3889,27301,0.03,2021-05-13,ativo
594,992,2580,0.016,2023-03-14,ativo
