id_pagamento,id_emprestimo,valor_pago,data_pagamento
288,751,691,2023-03-27
289,3420,1032,2022-01-23
290,1646,1501,2023-01-27
291,728,6271,2022-04-07
292,3863,9361,2022-03-20
293,1300,1731,2023-08-30
294,3743,9753,2021-09-18
295,1828,6605,2023-07-14
296,3144,957,2021-10-10
297,562,7085,2020-08-13
298,4289,9633,2023-04-27
299,4147,9150,2022-05-19
300,201,1641,2020-08-08
301,3020,6291,2023-07-06
302,1614,9984,2020-11-08
303,761,1969,2022-06-27
304,1677,3037,2020-08-29
305,1326,6850,2022-01-05
306,398,740,2021-06-24
307,1945,3757,2023-08-13
308,3551,4181,2023-03-21
309,4813,897,2021-06-14
310,20,4069,2023-06-18
311,4592,7532,2023-04-29
312,1390,1228,2023-07-22
313,4361,3661,2023-05-18
314,2435,4842,2022-12-09
315,4258,1827,2022-09-23
316,3710,7282,2022-09-06
317,2036,4672,2021-03-04
318,65,9107,2021-09-20
319,2450,8596,2020-12-07
320,1521,5016,2021-06-17
321,3316,7326,2022-01-20
322,3939,4756,2021-04-01
323,3384,5229,2021-12-15
324,246,4421,2023-01-05
325,4578,3380,2021-05-07
326,4055,7312,2022-09-11
327,1963,7447,2022-04-02
328,4246,1722,2023-07-01
329,3887,7468,2022-02-10
330,2234,9481,2021-05-12
331,2549,6559,2023-05-15
332,3653,1646,2022-02-17
333,2108,6491,2021-08-19
334,4662,5687,2021-10-24
335,753,5558,2022-04-08
336,3582,6808,2022-02-27
337,1182,3411,2021-12-24
338,84,2700,2022-07-16
339,4779,382,2023-07-13
340,4632,6344,2021-12-02
341,4827,6566,2022-08-09
342,3427,8709,2020-10-09
343,998,9010,2021-06-08
344,1140,9646,2021-03-26
345,1991,2434,2021-11-28
346,3144,9378,2023-03-02
347,1126,3243,2020-09-16
348,1856,7862,2021-07-31
349,1888,8162,2023-07-18
350,2211,1072,2022-08-02
351,527,3538,2023-04-21
352,3389,8259,2022-02-07
353,4267,5553,2023-03-13
354,4108,4207,2020-09-14
355,2175,5601,2022-04-03
356,4786,6508,2022-03-29
357,3682,6743,2022-07-02
358,3772,8431,2022-07-30
359,4601,234,2020-09-19
360,2889,5726,2020-10-16
361,1080,6681,2023-02-06
362,3477,4478,2021-11-06
363,4929,4524,2021-08-14
364,3394,3873,2021-05-06
365,3825,796,2022-06-23
366,3368,1959,2021-11-05
367,3559,6018,2021-07-01
368,2059,4348,2021-05-30
369,347,1206,2022-01-19
370,1237,1638,2023-04-11
371,3534,7459,2021-10-26
372,3735,1834,2022-06-26
373,1125,1030,2021-10-25
374,2669,1556,2023-08-21
375,760,9565,2023-05-17
376,2848,555,2022-04-28
377,3350,6328,2020-12-25
378,1929,3866,2022-03-11
379,4484,5434,2020-09-10
380,4452,1635,2021-11-21
381,1537,3241,2021-06-16
382,4610,8403,2023-01-31
383,3468,6929,2021-07-25
384,1526,8227,2020-09-06
385,2287,2311,2021-07-30
386,1675,9177,2020-12-14
387,13,6789,2020-08-23
388,4141,1468,2023-03-03
389,355,825,2022-06-15
390,1238,2279,2020-11-14
391,4332,4578,2022-05-17
392,3762,5041,2023-09-02
393,3330,6128,2020-07-13
394,2735,2374,2023-01-25
395,156,3152,2022-05-21
396,3517,1767,2021-01-18
397,2376,3731,2022-03-11
398,4128,3374,2020-08-31
399,2557,302,2023-02-17
400,3926,6201,2021-02-08
401,1810,857,2022-10-25
402,630,377,2021-04-10
403,1147,1981,2022-09-01
404,4504,9828,2022-12-21
405,2356,5756,2021-07-17
406,3768,2006,2021-12-31
407,3662,4119,2021-04-14
408,359,4843,2021-10-17
409,678,2268,2022-11-26
410,2311,4278,2020-11-26
411,1472,6979,2022-10-19
412,3369,5957,2022-08-25
413,355,3075,2021-08-28
414,1649,6781,2020-11-25
415,3391,6029,2022-04-27
416,4180,563,2022-10-06
417,1193,4304,2022-12-17
418,2670,5635,2022-04-24
419,1228,7097,2022-12-23
420,1138,1087,2021-10-09
421,3320,7950,2020-09-26
422,1180,7649,2022-03-06
423,924,326,2020-06-16
424,2919,7353,2023-07-02
425,3994,882,2022-10-21
426,4744,244,2022-03-16
427,3788,1445,2020-10-24
428,1457,1563,2023-05-07
429,749,6476,2022-12-17
430,4906,3519,2021-06-05
431,1974,6179,2021-06-20
432,4706,3962,2021-09-17
433,137,6271,2021-12-11
434,4340,4818,2023-09-07
435,2619,1541,2022-10-06
436,2711,7950,2020-09-23
437,3624,9730,2022-01-29
438,1543,2580,2021-01-08
439,4326,3922,2020-08-05
440,1212,4646,2021-05-28
441,3244,4542,2022-09-23
442,4329,5677,2022-04-09
443,905,9596,2020-07-21
444,1169,765,2022-02-14
445,564,1261,2022-03-24
446,2497,9119,2023-03-31
447,269,5378,2020-12-19
448,409,3826,2021-06-25
449,2331,6611,2022-06-18
450,2031,3874,2022-10-02
451,1664,4101,2020-06-14
452,2587,8096,2022-06-25
453,2480,3370,2023-01-10
454,434,247,2023-08-28
455,4426,4817,2021-01-31
456,3323,4517,2021-09-21
457,3694,7555,2020-08-07
458,1202,1771,2023-01-04
459,88,4616,2022-11-20
460,504,2023,2021-06-12
461,2794,2979,2023-07-06
462,1835,3676,2023-08-02
463,3856,1716,2022-12-07
464,4417,6329,2022-07-20
465,4336,1976,2022-12-17
466,3102,7481,2022-07-08
467,302,6009,2020-12-11
468,4044,4078,2023-07-28
469,1958,700,2020-10-20
470,469,5887,2022-06-14
471,4831,1575,2022-07-16
472,4970,9181,2021-06-23
473,2027,1406,2023-02-25
474,4824,3671,2022-07-10
475,2356,8384,2020-07-28
476,4253,4422,2022-02-05
477,354,6519,2022-05-19
478,2425,6015,2021-04-02
479,2737,9554,2021-07-20
480,3020,7852,2020-07-14
481,4076,6461,2022-06-26
482,55,9646,2021-11-17
483,3211,3147,2020-06-26
484,3842,9014,2022-03-19
485,3485,2611,2021-06-09
486,3688,2013,2023-09-03
487,1312,6928,2020-07-24
488,1055,6475,2020-10-11
489,994,9393,2022-11-11
490,4199,527,2021-01-27
491,217,3809,2022-11-10
492,27,9827,2020-10-18
493,4830,4760,2023-08-15
494,29,9305,2020-10-16
495,3829,1002,2020-09-09
496,1609,2427,2023-03-21
497,3328,2953,2023-05-17
498,198,5847,2023-05-09
499,3784,7817,2023-03-03
500,4062,1015,2020-11-21
501,2274,9844,2023-01-07
502,1099,6519,2023-04-04
503,1061,1847,2021-01-02
504,4614,5702,2022-10-23
505,4915,6773,2022-02-17
506,3556,661,2023-03-03
507,3684,3514,2022-03-14
508,4872,6131,2022-08-09
509,4612,2036,2021-05-09
510,1224,804,2022-05-27
511,985,3553,2022-06-25
512,3288,4134,2023-08-10
513,3765,4825,2023-05-23
514,4996,3062,2022-05-22
515,368,998,2023-03-13
516,2924,1934,2022-10-18
517,3826,4552,2023-05-12
518,3409,7947,2021-06-23
519,2975,9069,2021-02-03
520,4514,2341,2021-01-18
521,4015,8336,2021-11-19
522,4175,7560,2021-12-30
523,4089,7591,2021-10-02
524,3063,5657,2023-07-02
525,2515,3741,2023-06-05
526,1927,6308,2022-08-01
527,4952,9681,2023-01-18
528,1018,3107,2022-05-20
529,1185,791,2020-11-12
530,1640,1208,2022-07-19
531,2083,7176,2023-08-28
532,1009,2636,2022-07-22
533,4022,2033,2023-08-27
534,730,9515,2022-10-09
535,4795,9624,2021-06-23
536,1728,6254,2021-10-03
537,308,3687,2020-11-04
538,2010,9294,2023-02-05
539,4562,3751,2020-08-21
540,2630,6644,2023-05-23
541,1087,8647,2023-02-03
542,3064,4003,2021-09-26
543,2699,5631,2021-05-31
544,3470,3012,2020-09-18
545,1113,4734,2023-06-30
546,4022,4354,2023-02-09
547,4131,2229,2021-01-19
548,1527,9350,2021-04-19
549,3304,9881,2021-07-09
550,2379,6235,2021-02-06
551,3704,3980,2023-08-13
552,1354,2289,2021-03-09
553,4744,3821,2020-11-17
554,3609,7738,2023-04-12
555,3535,5699,2020-06-17
556,2002,9500,2021-12-20
557,3600,6319,2020-09-22
558,2591,5535,2023-02-13
559,4055,8105,2023-07-28
560,647,7715,2022-02-06
561,1670,1415,2021-02-13
562,2468,3668,2022-02-09
563,2616,3581,2022-05-18
564,2029,8439,2020-11-04
565,563,5613,2023-03-11
566,2882,718,2021-03-16
567,3764,2787,2020-09-11
568,2226,8647,2020-08-10
569,1541,6434,2022-07-05
570,3693,5972,2022-10-04
571,1528,4403,2021-07-09
572,1635,9647,2020-12-23
573,3334,8979,2022-07-14
574,3774,278,2023-05-03
575,4400,5367,2022-03-27
576,136,6749,2023-08-17
577,2231,3932,2023-08-31
578,2234,4558,2021-01-04
579,496,1305,2020-07-03
580,2457,2590,2023-02-22
581,4858,7965,2021-11-16
582,1581,5914,2021-12-23
583,4789,2661,2021-01-21
584,12,1949,2023-05-11
585,582,8472,2023-06-23
586,3406,2061,2021-08-13
587,1275,9804,2021-10-16
588,3029,7544,2022-03-20
589,1722,8861,2022-02-19
590,4119,1470,2020-12-24
591,731,5523,2023-03-20
592,308,3290,2022-02-04
593,3753,6252,2022-08-20
594,436,1715,2022-09-22
595,2346,2843,2022-07-28
596,1535,5146,2022-04-16
597,2649,4850,2022-10-01
598,1333,253,2021-05-31
599,1012,3976,2022-05-01
600,2054,6579,2021-05-14
601,1181,4295,2023-08-11
602,2331,264,2023-03-01
603,683,7487,2021-10-18
604,2418,3953,2021-12-18
605,3154,6475,2020-10-06
606,2790,4446,2023-01-24
607,407,1029,2022-10-03
608,416,4293,2023-08-13
609,4305,1461,2020-09-14
610,3617,9671,2022-06-03
611,888,6609,2021-06-24
612,2764,2386,2020-10-31
613,2128,1599,2021-05-30
614,4,2992,2021-05-05
615,2385,1948,2023-02-24
616,2769,6743,2020-10-16
617,3138,8631,2020-08-25
618,4976,5728,2022-11-11
619,2074,1607,2023-05-19
620,2751,4620,2021-02-05
621,1571,3777,2021-07-09
622,3562,6623,2022-06-07
623,102,2501,2023-04-27
624,2790,9985,2020-10-16
625,2694,7263,2022-03-17
626,4522,2109,2022-11-17
627,811,6314,2023-01-26
628,4496,2992,2023-08-03
629,488,5593,2021-05-30
630,2491,9909,2021-06-01
631,1395,1603,2023-09-11
632,952,1881,2022-01-01
633,1311,9545,2023-09-07
634,4978,4629,2023-03-29
635,925,4954,2021-01-12
636,2329,312,2020-11-20
637,1773,8608,2022-06-12
638,3251,9657,2023-09-04
639,1553,9710,2021-02-03
640,2331,2959,2022-09-23
641,2634,2720,2020-06-12
642,989,2858,2020-08-02
643,886,7576,2022-02-09
644,352,2692,2020-09-14
645,4146,5159,2022-02-20
646,3571,8444,2023-04-18
647,4265,6606,2022-09-04
648,2982,5070,2023-06-19
649,608,9087,2021-03-28
650,3796,3257,2021-02-11
651,2026,6517,2022-12-24
652,2679,1867,2022-10-01
653,2558,4674,2023-08-26
654,1014,5334,2021-06-27
655,1225,2062,2023-07-22
656,209,1758,2020-12-19
657,1563,1209,2023-04-26
658,2578,2451,2021-08-20
659,839,6086,2022-09-03
660,4372,2998,2021-09-26
661,2375,3198,2023-06-18
662,2054,402,2021-02-12
663,1209,4325,2022-08-18
664,1427,6639,2023-02-02
665,670,4176,2021-04-20
666,83,2484,2022-03-04
667,2023,4347,2021-04-22
668,1981,8996,2022-10-17
669,3613,844,2022-12-05
670,3884,6505,2020-07-31
671,2548,2405,2021-07-11
672,4834,8969,2023-03-08
673,3495,6673,2023-01-19
674,2478,1048,2023-06-10
675,4090,8175,2021-03-02
676,615,850,2022-12-07
677,2770,3124,2022-01-20
678,425,535,2021-10-07
679,1792,786,2022-06-29
680,599,505,2023-03-07
681,1185,4847,2023-01-03
682,1127,5846,2021-12-19
683,1498,7282,2022-05-11
684,2371,1260,2022-11-12
685,4357,9909,2021-07-30
686,4863,3114,2023-02-20
687,3559,4032,2023-09-03
688,4514,5427,2021-06-15
689,1799,9302,2020-12-29
690,4517,2973,2023-04-14
691,4724,3324,2022-07-21
692,1571,2926,2022-12-28
693,4500,7187,2023-04-23
694,175,8033,2020-08-21
695,2247,3159,2021-09-19
696,2886,7681,2021-09-17
697,648,8737,2022-06-23
698,4742,4054,2020-10-23
699,661,7185,2023-08-29
700,4860,3265,2020-11-13
701,1567,5422,2021-10-24
702,2560,7860,2020-09-25
703,2836,312,2023-01-18
704,28,8320,2023-02-07
705,3072,300,2023-07-19
706,4519,5074,2023-08-04
707,2315,9667,2022-08-28
708,1621,5877,2022-12-22
709,3096,8466,2022-10-01
710,3397,2252,2020-10-23
711,1948,9159,2020-06-24
712,2666,9683,2022-06-05
713,598,4414,2023-07-07
714,2290,6081,2021-12-22
715,1404,2868,2022-06-30
716,4774,5652,2022-04-21
717,826,3413,2021-06-22
718,284,5564,2020-10-16
719,2876,5019,2020-12-15
720,4767,6974,2021-08-01
721,2904,1997,2020-12-21
722,213,9975,2022-09-20
723,4079,5256,2022-05-03
724,879,3974,2022-10-27
725,1880,6784,2022-05-30
726,4960,360,2022-04-18
727,250,4325,2020-10-11
728,4025,4088,2023-03-15
729,1167,2504,2021-09-29
730,2137,2400,2022-10-08
731,3989,8430,2023-01-11
732,324,3455,2021-05-20
733,1774,9129,2021-01-16
734,1147,8653,2020-11-12
735,3616,1234,2023-05-14
736,4672,3969,2022-05-25
737,2517,7460,2022-03-18
738,1139,2166,2020-10-23
739,1321,7429,2022-03-12
740,4763,7132,2021-10-14
741,4080,3762,2020-10-23
742,719,5210,2021-07-27
743,1955,1922,2020-07-04
744,4384,8455,2022-09-03
745,1327,4144,2020-09-19
746,3539,5677,2023-09-04
747,2126,631,2020-07-25
748,1925,8925,2020-12-13
749,4174,506,2021-10-12
750,3421,5079,2023-06-26
751,3050,1718,2020-08-16
752,365,2313,2020-10-17
753,4103,2707,2022-02-14
754,621,4342,2020-07-19
755,4457,1629,2022-12-04
756,374,2407,2023-04-27
757,2145,7124,2020-10-07
758,3479,9213,2023-01-20
759,4366,7500,2021-06-28
760,1506,1252,2021-12-29
761,4653,9603,2023-02-05
762,89,3634,2021-02-18
763,169,4789,2021-06-20
764,2551,8319,2021-11-06
765,1746,3557,2022-02-19
766,2503,2325,2020-12-31
767,356,6939,2022-06-10
768,544,937,2020-07-13
769,2411,6673,2020-06-04
770,538,396,2022-01-20
771,906,3464,2021-02-05
772,1921,5708,2022-06-21
773,2736,7658,2023-08-14
774,2486,2381,2020-09-05
775,3870,2604,2021-02-17
776,1901,9977,2022-06-02
777,3468,7806,2021-02-23
778,698,8213,2022-07-14
779,629,8764,2023-07-21
780,4769,9281,2023-03-15
781,4537,7637,2023-03-03
782,3470,8000,2022-11-14
783,3040,1241,2021-08-20
784,4097,8070,2023-01-08
785,627,2310,2021-08-11
786,4969,8998,2020-11-20
787,4367,9600,2021-09-01
788,3740,2833,2020-08-25
789,2276,8501,2023-02-01
790,1842,836,2021-12-16
791,2960,2115,2021-10-31
792,2614,5796,2023-03-24
793,3358,8552,2020-11-21
794,3738,3859,2021-12-27
795,930,9023,2023-07-13
796,251,8369,2023-08-30
797,3300,5306,2020-08-22
798,2032,1952,2022-05-14
799,3969,5426,2023-04-11
800,2716,3357,2023-08-09
801,869,9036,2022-03-29
802,1954,6611,2021-03-15
803,271,6126,2021-12-24
804,2505,3332,2021-09-26
805,4781,3193,2022-12-05
806,665,9433,2022-03-10
807,2062,709,2022-09-19
808,1867,8663,2022-03-06
809,3445,7672,2020-06-18
810,1150,1093,2023-01-15
811,612,6018,2021-07-09
812,3758,9357,2021-12-24
813,1523,1103,2022-05-11
814,2942,5905,2022-04-21
815,1795,5436,2021-11-29
816,2314,790,2022-12-09
817,4229,9923,2022-09-25
818,3736,7867,2023-03-28
819,4306,9015,2021-05-04
820,1110,1934,2020-08-04
821,318,7663,2021-03-14
822,75,4742,2020-07-15
823,2543,8301,2020-10-18
824,1023,3047,2022-01-26
825,3298,1930,2022-11-26
826,3007,8257,2023-06-06
827,128,4779,2020-12-12
828,189,5289,2023-07-06
829,3503,6898,2023-02-16
830,671,8749,2022-10-05
831,2107,4679,2021-04-02
832,3551,2265,2022-01-20
833,2463,8352,2020-09-30
834,2120,9423,2023-06-29
835,3395,7900,2020-11-16
836,942,456,2021-01-27
837,4114,7788,2023-01-11
838,113,3983,2021-10-10
839,1287,5546,2023-01-05
840,386,4873,2022-01-23
841,1837,677,2023-01-06
842,2002,2405,2022-02-21
843,3082,7132,2023-05-22
844,4640,8111,2021-11-08
845,4922,1180,2021-08-12
846,468,4472,2021-09-10
847,4206,1856,2023-01-07
848,3624,9945,2023-03-22
849,4833,9594,2021-03-20
850,2140,6818,2023-08-19
851,1318,4846,2023-01-13
852,183,4828,2023-05-17
853,993,1924,2021-06-28
854,485,1727,2023-04-14
855,3490,4925,2021-10-15
856,1114,4254,2020-11-19
857,2166,6053,2022-07-17
858,3045,1787,2023-04-11
859,1022,2920,2023-01-06
860,3009,9943,2020-11-13
861,3889,1131,2020-07-15
862,2014,4643,2021-10-09
863,3771,4636,2021-07-11
864,1267,6001,2022-07-21
865,3843,5049,2020-07-29
866,2709,3640,2022-07-19
867,1132,5364,2020-12-05
868,1269,3566,2021-02-08
869,599,5714,2021-11-11
870,895,1288,2021-01-19
871,4849,642,2021-03-09
872,228,6412,2020-06-24
873,4005,1878,2021-10-21
874,3294,9752,2021-07-23
875,433,741,2022-06-09
876,1054,3092,2020-11-02
877,2534,4538,2021-05-02
878,3473,7371,2021-10-14
879,2995,3479,2023-07-23
880,2176,2429,2022-03-10
881,3477,2164,2021-02-09
882,3354,1980,2022-03-03
883,4677,5296,2021-12-06
884,1161,6968,2020-11-22
885,4375,4709,2022-04-06
886,2578,3634,2022-11-16
887,2595,8970,2021-04-12
888,3289,8882,2021-02-16
889,3021,1183,2023-05-30
890,873,4618,2023-09-02
891,2548,714,2021-06-10
892,1569,2388,2021-07-05
893,2846,9295,2022-06-29
894,4860,3968,2022-05-14
895,4188,1116,2021-07-28
896,2731,3008,2023-04-07
897,4243,695,2022-04-20
898,230,8323,2022-03-10
899,374,8344,2023-04-08
900,722,9799,2022-12-11
901,1736,6109,2021-11-13
902,2415,2354,2022-06-04
903,1482,4795,2023-01-26
904,4034,8206,2023-02-14
905,2074,4873,2021-12-13
906,4633,6598,2021-11-24
907,4812,4218,2020-08-09
908,2508,7198,2021-12-31
909,434,999,2022-11-08
910,72,6532,2023-08-08
911,4359,8572,2021-03-05
912,3197,5076,2023-06-24
913,3559,2262,2022-12-24
914,2984,6180,2021-07-31
915,4071,7779,2021-09-10
916,4608,5961,2022-01-16
917,3112,539,2023-09-07
918,825,2489,2021-02-04
919,182,4364,2020-07-20
920,3833,2774,2022-06-09
921,2075,6003,2021-07-11
922,4941,7328,2020-08-29
923,759,7312,2020-10-02
924,4699,3846,2021-03-17
925,2072,7879,2020-08-03
926,3608,9435,2021-03-21
927,3254,2429,2022-06-09
928,854,8013,2022-01-29
929,1649,2237,2022-08-17
930,466,3765,2021-02-25
931,3046,1162,2021-09-17
932,4789,5068,2021-10-18
933,4895,8531,2023-05-24
934,2119,4581,2021-04-13
935,3768,9322,2023-08-18
936,2929,2744,2021-10-11
937,3502,1687,2023-03-20
938,4846,4535,2023-08-12
939,3393,4501,2022-04-20
940,2510,6005,2022-05-27
941,3739,8507,2021-01-24
942,1420,7550,2021-07-01
943,895,8277,2022-01-11
944,1178,7399,2021-01-05
945,4335,3945,2021-02-27
946,1189,4785,2020-07-19
947,1323,3694,2021-08-02
